Coptic,English
ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲛⲁⲓ ⲛⲏⲟⲩ ⲙⲡⲟⲩⲉ ⲁⲩⲱ ⲛⲉⲓⲕⲟⲟⲩⲉ ⲉⲃⲟⲗ ϩⲙⲡⲉⲙϩⲓⲧ ⲙⲛⲧⲑⲁⲗⲁⲥⲥⲁ ϩⲉⲛⲕⲟⲟⲩⲉ ⲇⲉ ⲉⲃⲟⲗ ϩⲙⲡⲕⲁϩ ⲛⲛⲡⲉⲣⲥⲟⲥ,"behold, these shall come from far: and these from the north and the west, and others from the land of the persians."
ⲉⲧⲉⲡⲁⲓ ⲡⲉ ϫⲉⲛϣⲏⲣⲉ ⲁⲛ ⲛⲧⲥⲁⲣⲝ ⲛⲁⲓ ⲛⲉ ⲛϣⲏⲣⲉ ⲙⲡⲛⲟⲩⲧⲉ . ⲁⲗⲗⲁ ⲛϣⲏⲣⲉ ⲙⲡⲉⲣⲏⲧ ⲛⲉⲧⲟⲩⲛⲁⲟⲡⲟⲩ ⲉⲡⲉⲥⲡⲉⲣⲙⲁ .,"that is, it is not the children of the flesh who are children of god, but the children of the promise are counted as a seed."
ⲡⲗⲏⲛ ϯϫⲱ ⲙⲙⲟⲥ ⲛⲏⲧⲛ . ϫⲉⲟⲩⲛⲟⲩⲙⲧⲟⲛ ⲛⲁϣⲱⲡⲉ ⲛⲧⲩⲣⲟⲥ ⲙⲛⲥⲓⲇⲱⲛ ⲙⲡⲉϩⲟⲟⲩ ⲛⲧⲉⲕⲣⲓⲥⲓⲥ ⲉϩⲟⲩⲉⲉⲣⲱⲧⲛ .,"but i tell you, it will be more tolerable for tyre and sidon on the day of judgment than for you."
ⲡⲉϫⲉϩⲟⲓⲛⲉ ⲛⲛⲉⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ ϫⲉⲉⲧⲃⲉⲟⲩ ⲧⲉⲧⲛⲓⲣⲉ ⲙⲡⲉⲧⲉⲙⲉϣϣⲉ ϩⲙⲡⲥⲁⲃⲃⲁⲧⲟⲛ .,"but some of the pharisees said to them, 'why do you do that which is not lawful to do on the sabbath day?'"
ⲁⲩⲱ ⲛⲛⲁⲕⲱ ⲛⲥⲱⲓ ⲛⲛⲉϥⲟⲩⲉϩⲥⲁϩⲛⲉ ⲁⲓϩⲱⲡ ⲇⲉ ⲛⲛⲉϥϣⲁϫⲉ ϩⲛⲕⲟⲩⲛⲧ .,neither shall i transgress; but i have hid his words in my bosom.
ⲛⲉⲩⲛ ⲟⲩⲁ ⲇⲉ ϣⲱⲛⲉ ϫⲉⲗⲁⲍⲁⲣⲟⲥ ⲉⲃⲟⲗ ϩⲛⲃⲏⲑⲁⲛⲓⲁ ⲡϯⲙⲉ ⲙⲙⲁⲣⲓⲁ ⲛⲙⲙⲁⲣⲑⲁ ⲧⲉⲥⲥⲱⲛⲉ .,"now a certain man was sick, lazarus from bethany, of the village of mary and her sister, martha."
ⲉⲧϭⲁⲉⲓⲟ ⲛⲟⲩⲣⲱⲙⲉ ϩⲙⲡⲧⲣⲉⲩϯ ϩⲁⲡ ⲉⲣⲟⲩ ⲉⲙⲡⲉⲡϫⲟⲉⲓⲥ ϫⲟⲟⲥ,"to condemn a man unjustly in his judgment, the lord has not given commandment."
ⲁⲡϫⲟⲉⲓⲥ ϣⲱⲡⲉ ⲙⲙⲁ ⲙⲡⲱⲧ ⲙⲡϩⲏⲕⲉ ⲛⲃⲟⲏⲑⲟⲥ ϩⲙⲡⲉⲟⲩⲟⲉⲓϣ ⲛⲧⲉⲑⲗⲓⲯⲓⲥ,"the lord also is become a refuge for the poor, a seasonable help, in affliction."
ⲛⲁⲛⲟⲩ ⲛⲉⲛⲧⲁⲩϣⲟⲟϭⲟⲩ ϩⲛⲧⲥⲏϥⲉ ⲉϩⲟⲩⲉ ⲛⲉⲛⲧⲁⲩϣⲱϭⲉ ϩⲙⲡϩⲉⲃⲱⲱⲛ ϫⲉⲁⲩⲙⲟⲟϣⲉ ⲉⲩϫⲟⲧϩ ϩⲁⲡⲉϩⲕⲟ ⲛⲟⲉⲓⲕ ⲙⲛⲛⲉϩⲣⲏⲩⲉ ⲛⲧⲥⲱϣⲉ,"teth. the slain with the sword were better than they that were slain with hunger: they have departed, pierced through from want of the fruits of the field."
ⲥⲉⲛⲁⲟⲩⲱϩ ⲅⲁⲣ ⲉⲣⲟⲕ ⲛⲟⲩⲛⲟϭ ⲛⲁϩⲉ ⲙⲛϩⲉⲛⲣⲙⲡⲟⲟⲩⲉ ⲛⲱⲛϩ ⲙⲛⲟⲩⲉⲓⲣⲏⲛⲏ,"for length of existence, and years of life, and peace, shall they add to thee."
ⲁⲩⲱ ⲓⲏⲥⲟⲩⲥ ⲁϥϫⲟⲟⲩ ⲛϩⲉⲛϥⲁⲓϣⲓⲛⲉ ⲛⲥⲱⲟⲩ ⲁⲩⲱ ⲁⲩⲡⲱⲧ ⲉϩⲣⲁⲓ ⲉⲧⲉⲥⲕⲩⲛⲏ ⲉⲧⲡⲉⲣⲉⲙⲃⲟⲗⲏ ⲁⲩⲱ ⲛⲁⲓ ⲉⲩⲗⲏϭ ϩⲛⲧⲉⲥⲕⲩⲛⲏ ⲁⲩⲱ ⲡϩⲁⲧ ⲉⲛⲉϥϩⲁⲣⲟⲟⲩ,"and joshua sent messengers, and they ran to the tent into the camp; and these things were hidden in his tent, and the silver under them."
ⲁⲕⲥⲟⲟϥ ⲙⲛⲛⲉⲧⲙⲟⲟⲩⲧ ⲁⲩⲟⲡⲕ ⲙⲛⲛⲉⲧⲃⲏⲕ ⲉⲡⲉⲥⲏⲧ ⲉⲁⲙⲛⲧⲉ,that thou art counted with them that go down into the grave?
ⲁϥⲱⲣⲕ ⲉϥϫⲱ ⲙⲙⲟⲥ · ϫⲉϣⲉⲡⲁⲡⲟⲗⲗⲱⲛ,"and he swore an oath, saying, ' by apollo, the greatest of the gods, i will deliver thee over to the emperor (so that) he may destroy thee."
ⲁϥⲃⲱⲕ ⲇⲉ ⲉϩⲟⲩⲛ ⲛϭⲓⲙⲱⲩⲥⲏⲥ ⲁϥϫⲱ ⲛⲛⲁϩⲣⲙⲡⲗⲁⲟⲥ ⲛⲛϣⲁϫⲉ ⲧⲏⲣⲟⲩ ⲙⲡⲛⲟⲩⲧⲉ ⲙⲛⲛⲉϥⲇⲓⲕⲁⲓⲱⲙⲁ ⲁϥⲟⲩⲱϣⲃ ⲇⲉ ⲛϭⲓⲡⲗⲁⲟⲥ ⲧⲏⲣϥ ϩⲛⲟⲩⲥⲙⲏ ⲛⲟⲩⲱⲧ ⲉⲩϫⲱ ⲙⲙⲟⲥ ϫⲉⲛϣⲁϫⲉ ⲧⲏⲣⲟⲩ ⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ ϫⲟⲟⲩ ⲧⲛⲛⲁⲁⲩ ⲁⲩⲱ ⲛⲧⲛⲥⲱⲧⲙ ⲉⲣⲟⲟⲩ,"and moses went in and related to the people all the words of god and the ordinances; and all the people answered with one voice, saying, all the words which the lord has spoken, we will do and be obedient."
ⲛⲥⲉⲣⲡⲙⲉⲉⲩⲉ ⲛⲛⲁⲛⲟⲙⲓⲁ ⲛⲛⲉϥⲉⲓⲟⲧⲉ ⲙⲡⲉⲙⲧⲟ ⲉⲃⲟⲗ ⲙⲡϫⲟⲉⲓⲥ ⲛⲥⲉⲧⲙϥⲱⲧⲉ ⲉⲃⲟⲗ ⲙⲡⲛⲟⲃⲉ ⲛⲧⲉϥⲙⲁⲁⲩ,let the iniquity of his fathers be remembered before the lord; and let not the sin of his mother be blotted out.
ⲛⲉⲧⲉⲙⲡⲟⲩⲟⲩⲱϣ ⲉⲥⲱⲧⲙ ⲛⲥⲁⲛⲁϣⲁϫⲉ ⲁⲗⲗⲁ ⲁⲩⲃⲱⲕ ⲁⲩⲟⲩⲁϩⲟⲩ ⲛⲥⲁϩⲙⲛⲛⲟⲩⲧⲉ ⲛϣⲙⲙⲟ ⲉⲧⲣⲉⲩⲣ ϩⲙϩⲁⲗ ⲛⲁⲩ ⲁⲩⲱ ⲛⲥⲉⲟⲩⲱϣⲧ ⲛⲁⲩ ⲉⲩϣⲱⲡⲉ ⲛⲧϩⲉ ⲙⲡⲉⲓⲡⲉⲣⲓⲍⲱⲙⲁ ⲡⲁⲓ ⲉⲧⲉⲛϥⲛⲁⲣ ϣⲁⲩⲁⲛ ϭⲉ ⲉⲗⲁⲁⲩ,"even this great pride of the men that will not hearken to my words, and have gone after strange gods, to serve them, and to worship them: and they shall be as this girdle, which can be used for nothing."
ⲁⲩⲱ ⲡⲉϫⲁⲩ ⲛⲛⲉⲩⲉⲣⲏⲩ ϫⲉⲁⲙⲏⲓⲧⲛ ⲛⲧⲛϣⲟϫⲛⲉ ⲛⲟⲩⲙⲟⲕⲙⲉⲕ ⲉⲓⲉⲣⲏⲙⲓⲁⲥ ϫⲉⲛϥⲛⲁⲧⲁⲕⲟ ⲁⲛ ⲛϭⲓⲡⲛⲟⲙⲟⲥ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲟⲩⲏⲏⲃ ⲁⲩⲱ ⲟⲩϣⲟϫⲛⲉ ⲉⲃⲟⲗ ϩⲓⲧⲛⲟⲩⲥⲁⲃⲉ ⲁⲩⲱ ⲟⲩϣⲁϫⲉ ⲉⲃⲟⲗ ϩⲓⲧⲛⲟⲩⲡⲣⲟⲫⲏⲧⲏⲥ ⲁⲙⲏⲓⲧⲛ ⲛⲧⲛϫⲓ ⲕⲣⲟϥ ⲙⲙⲟϥ ϩⲛⲟⲩϣⲁϫⲉ ⲛⲧⲛⲥⲱⲧⲙ ⲉⲛⲉϥϣⲁϫⲉ ⲧⲏⲣⲟⲩ,"then they said, come, and let us devise a device against jeremias; for the law shall not perish from the priest, nor counsel from the wise, nor the word from the prophet. come, and let us smite him with the tongue, and we will hear all his words."
ⲧⲟⲧⲉ ⲁϥϫⲱ ⲛϭⲓⲙⲱⲩⲥⲏⲥ ⲛⲧⲟϥ ⲙⲛⲛϣⲏⲣⲉ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲛⲧⲉⲓϩⲱⲇⲏ ⲙⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲡⲉϫⲁⲩ ϫⲉⲁϫⲓⲥ ϫⲉⲙⲁⲣⲛⲥⲙⲟⲩ ⲉⲡⲛⲟⲩⲧⲉ ϩⲛⲟⲩⲉⲟⲟⲩ ⲅⲁⲣ ⲁϥϫⲓⲉⲟⲟⲩ ⲟⲩϩⲧⲟ ⲙⲛⲡⲉⲧⲧⲁⲗⲉ ⲉϫⲱϥ ⲁϥⲛⲟϫϥ ⲉϩⲣⲁⲓ ⲉⲑⲁⲗⲁⲥⲥⲁ,"then sang moses and the children of israel this song to god, and spoke, saying, let us sing to the lord, for he is very greatly glorified: horse and rider he has thrown into the sea."
ⲥⲉⲛⲁϫⲓ ⲛϩⲉⲛⲡⲁⲣⲑⲉⲛⲟⲥ ⲙⲡⲣⲣⲟ ϩⲓⲡⲁϩⲟⲩ ⲙⲙⲟⲥ ⲥⲉⲛⲁⲉⲓⲛⲉ ⲛⲁⲕ ⲛⲛⲉⲧϩⲓⲧⲟⲩⲱⲥ,in embroidered clothing: virgins shall be brought to the king after her: her fellows shall be brought to thee.
ⲁⲛⲟⲛ ⲇⲉ ⲛⲉⲥⲛⲏⲩ ⲉⲁⲛⲣⲡⲉⲧⲛⲃⲟⲗ ⲡⲣⲟⲥⲡⲟⲩⲟⲉⲓϣ ⲛⲛⲁⲟⲩⲟⲩⲛⲟⲩ ϩⲙⲡϩⲟ ϩⲙⲡϩⲏⲧ ⲁⲛ . ⲁⲛϭⲉⲡⲏ ⲛϩⲟⲩⲟ ⲉⲛⲁⲩ ⲉⲛⲉⲧⲛϩⲟ ϩⲛⲟⲩⲛⲟϭ ⲛⲟⲩⲱϣ,"but we, brothers, being bereaved of you for a short season, in presence, not in heart, tried even harder to see your face with great desire,"
ⲁⲩⲣⲱⲕϩ ⲙⲡⲉⲕⲡⲉⲧⲟⲩⲁⲁⲃ ϩⲛⲟⲩⲕⲱϩⲧ ⲁⲩⲧⲁⲟⲩⲟ ⲉⲡⲉⲥⲏⲧ ⲙⲡⲙⲁ ⲛϣⲱⲡⲉ ⲙⲡⲉⲕⲣⲁⲛ,they have burnt thy sanctuary with fire to the ground; they have profaned the habitation of thy name.
ⲙⲡⲣⲧⲣⲉⲗⲁⲁⲩ ϭⲉ ⲟⲩⲛ ⲛⲣⲱⲙⲉ ⲣⲁⲡⲓⲥⲧⲟⲥ,"therefore let no man allow himself to be unbelieving concerning this matter which i have related unto him concerning the holy man apa pisentius the bishop, for he was worthy to see elijah the tishbite."
ⲉⲧⲃⲉⲡⲁⲓ ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲁⲛⲟⲕ ϯϣⲟⲟⲡ ⲟⲩⲃⲉ ⲛⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲡⲉϫⲉⲡϫⲟⲉⲓⲥ …,"behold, i am therefore against the prophets, saith the lord god, that steal my words every one from his neighbour."
ⲙⲡⲣⲥⲱⲧⲙ ⲛⲥⲁⲛⲇⲁⲓⲙⲟⲛⲓⲟⲛ ⲛⲅⲣⲙⲙⲉⲗⲟⲥ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ ⲙⲙⲉⲗⲟⲥ ⲙⲡⲟⲣⲛⲏ ·,"do not hearken to the devils, and make the member of the christ into the member of a whore."
ϫⲱ ⲛⲛⲁⲓ ⲁⲩⲱ ⲛⲅⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲛⲅϫⲡⲓⲟ ϩⲛⲟⲩⲉϩⲥⲁϩⲛⲉ ⲛⲓⲙ . ⲙⲡⲣⲧⲣⲉⲗⲁⲁⲩ ⲕⲁⲧⲁⲫⲣⲟⲛⲉⲓ ⲙⲙⲟⲕ .,say these things and exhort and reprove with all authority. let no man despise you.
ⲥⲁⲙⲟⲩⲏⲗ ⲇⲉ ⲁϥϫⲓⲥⲉ ⲁⲩⲱ ⲡϫⲟⲉⲓⲥ ⲛⲉϥϣⲟⲟⲡ ⲛⲙⲙⲁϥ ⲉⲙⲡⲉ ⲗⲁⲁⲩ ϩⲛⲛⲉϥϣⲁϫⲉ ⲧⲏⲣⲟⲩ ϩⲉ ⲉⲃⲟⲗ ϩⲓϫⲙⲡⲕⲁϩ,"and samuel grew, and the lord was with him, and there did not fall one of his words to the ground."
ϩⲛⲟⲩⲧⲁⲕⲟ ⲉⲧⲉⲧⲛⲉⲧⲁⲕⲟ ⲛⲛⲉⲩⲙⲁ ⲧⲏⲣⲟⲩ ⲉⲛⲧⲁⲩϣⲙϣⲉ ⲛϩⲏⲧⲟⲩ ⲛⲛⲉⲩⲛⲟⲩⲧⲉ ⲛϭⲓⲛϩⲉⲑⲛⲟⲥ ⲛⲁⲓ ⲛⲧⲱⲧⲛ ⲉⲧⲉⲧⲛⲛⲁⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ ⲙⲙⲟⲟⲩ ⲉϣⲁⲩⲧⲁⲗⲉ ⲑⲩⲥⲓⲁ ⲉϩⲣⲁⲓ ⲉϫⲛⲛⲧⲟⲩⲉⲓⲏ ⲉⲧϫⲟⲥⲉ ⲁⲩⲱ ϩⲓϫⲛⲛⲉⲕⲣⲣⲱⲟⲩ ⲛⲧⲉⲑⲁⲗⲁⲥⲥⲁ ⲁⲩⲱ ϩⲁⲣⲟⲟⲩ ⲛⲛϣⲏⲛ ⲉⲧⲟ ⲛϩⲁⲓⲃⲉⲥ,"ye shall utterly destroy all the places in which they served their gods, whose land ye inherit, on the high mountains and on the hills, and under the thick tree."
ⲛⲧⲉⲣⲉϥⲡⲟⲟⲛⲉϥ ⲇⲉ ⲉⲃⲟⲗ ϩⲙⲡⲙⲟⲉⲓⲧ ⲛⲣⲱⲙⲉ ⲇⲉ ⲧⲏⲣⲟⲩ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲁⲩⲡⲁⲣⲁⲅⲉ ⲉⲩⲟⲩⲏϩ ⲛⲥⲁⲓⲱⲁⲃ ⲉⲡⲱⲧ ⲛⲥⲁⲥⲁⲃⲉⲉ ⲡϣⲏⲣⲉ ⲛⲃⲟⲭⲟⲣⲓ,"and when he was quickly removed from the road, every man of israel passed after joab to pursue after sabee the son of bochori."
ⲁⲗⲗⲁ ⲉⲣⲉⲡϫⲟⲉⲓⲥ ⲛⲁϣⲁϫⲉ ⲛⲙⲙⲁⲕ ⲛⲁϣⲛϩⲉ .,"but oh that the lord would speak to thee, and open his lips to thee!"
ⲁⲓⲛⲟⲩϭⲥ ⲉϫⲛⲡⲁⲗⲁⲟⲥ ⲁⲥⲱⲱϥ ⲛⲧⲁⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲁⲛⲟⲕ ⲁⲓϯ ⲛⲧⲁⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲉⲧⲟⲩϭⲓϫ ⲛⲧⲟ ⲇⲉ ⲙⲡⲉϯ ⲗⲁⲁⲩ ⲛⲁⲩ ⲛⲛⲁⲁϩⲣⲟϣ ⲙⲡⲛⲁϩⲃⲉϥ ⲙⲡϩⲗⲗⲟ ⲉⲙⲁⲧⲉ,"i have been provoked with my people; thou hast defiled mine inheritance: i gave them into thy hand, but thou didst not extend mercy to them: thou madest the yoke of the aged man very heavy,"
ⲟⲩⲛⲡⲉⲧⲉⲛϥⲣⲛⲟⲃⲉ ⲁⲛ ⲉⲧⲃⲉⲧⲉϥⲙⲛⲧϩⲏⲕⲉ,"there is that is hindered from sinning through want: and when he taketh rest, he shall not be troubled."
ⲙⲡⲣϣⲟϫⲛⲉ ⲙⲛⲟⲩⲥⲟϭ ⲙⲛϣϭⲟⲙ ⲙⲙⲟⲟⲩ ⲉⲁⲙⲁϩⲧⲉ ⲛⲛϣⲁϫⲉ,consult not with a fool; for he cannot keep counsel.
ⲉⲧⲉⲧⲛⲁϣⲱⲡ ⲛⲧⲟⲟⲧⲟⲩ ⲛⲛⲉⲧⲉⲧⲛⲁⲟⲩⲟⲙⲟⲩ ⲉⲟⲩⲱⲙ ⲁⲩⲱ ⲛⲧⲉⲧⲛϫⲓ ⲛⲧⲟⲟⲧⲟⲩ ⲛⲟⲩⲙⲟⲟⲩ ϩⲛⲟⲩϣⲓ ϩⲁϩⲟⲙⲧ ⲛⲧⲉⲧⲛⲥⲟⲟϥ,"buy food of them for money and eat, and ye shall receive water of them by measure for money, and drink."
ⲁⲩⲱ ⲡⲣⲣⲟ ⲁϥϫⲓⲟⲟⲣ ⲉⲅⲁⲗⲅⲁⲗⲁ ⲭⲁⲙⲁⲁⲙ ⲇⲉ ⲁϥϫⲓⲟⲟⲣ ⲛⲙⲙⲁϥ ⲁⲩⲱ ⲡⲗⲁⲟⲥ ⲧⲏⲣϥ ⲛⲓⲟⲩⲇⲁ ⲁⲩϫⲓⲟⲟⲣ ⲙⲛⲡⲣⲣⲟ ⲁⲩⲱ ⲧⲡⲁϣⲉ ⲙⲡⲗⲁⲟⲥ ⲙⲡⲓⲥⲣⲁⲏⲗ,"and the king went over to galgala, and chamaam went over with him: and all the men of juda went over with the king, and also half the people of israel."
ⲭⲱⲣⲓⲥ ⲛⲉⲧϩⲓⲃⲟⲗ ⲛⲉⲧⲛⲏⲩ ⲉϫⲱⲓ ⲙⲙⲏⲛⲉ ⲛⲣⲟⲟⲩϣ ⲛⲛⲉⲕⲕⲗⲏⲥⲓⲁ ⲧⲏⲣⲟⲩ .,"besides those things that are outside, there is that which presses on me daily, anxiety for all the assemblies."
ⲥⲉⲛⲁⲗⲱϫϩ ⲙⲡⲕⲁϩ ⲛⲧϩⲉ ⲛⲛϩⲟϥ ⲉⲩⲥⲱϣ ϩⲓⲡⲉⲥⲏⲧ ⲥⲉⲛⲁⲥⲱⲟⲩϩ ⲉϩⲟⲩⲛ ⲉⲟⲣⲃⲟⲩ ⲉϩⲟⲩⲛ ⲥⲉⲛⲁⲣϣⲡⲏⲣⲉ ⲇⲉ ⲟⲛ ⲉϫⲙⲡϫⲟⲉⲓⲥ ⲡⲉⲛⲛⲟⲩⲧⲉ ⲛⲥⲉⲣϩⲟⲧⲉ ϩⲁⲧⲉϥϩⲏ,"they shall lick the dust as serpents crawling on the earth, they shall be confounded in their holes; they shall be amazed at the lord our god, and will be afraid of thee."
ⲙⲡⲣⲟⲇⲟⲧⲏⲥ . ⲉⲩⲁⲥⲱⲟⲩ ⲛϫⲁⲥⲓϩⲏⲧ . ⲉⲩⲟ ⲙⲙⲁⲓ ϩⲏⲇⲟⲛⲏ ⲉϩⲟⲩⲉ ⲙⲉⲣⲉ ⲡⲛⲟⲩⲧⲉ .,"traitors, headstrong, conceited, lovers of pleasure rather than lovers of god;"
