prefix	input_text	target_text
translate Coptic to English	ϯⲧⲥⲁⲃⲟ ⲇⲉ ⲙⲙⲟⲕ ⲉⲥⲟⲩⲛⲧⲙⲉ ⲁⲩⲱ ⲉϫⲱ ⲛⲛϣⲁϫⲉ ⲛⲧⲙⲉ ⲛⲛⲉⲧⲛⲁϫⲛⲟⲩⲕ ⲡϣⲟϫⲛⲉ ⲛⲁϣⲧ ⲉⲡⲟⲩⲟⲓ ⲛⲟⲩⲙⲟⲟⲩ ⲥⲱⲧⲙ ⲉϫⲓ ⲛⲟⲩⲱ ⲛⲛⲉⲧⲛⲁϫⲛⲟⲩⲕ	I therefore teach thee truth, and knowledge good to hear; that thou mayest answer words of truth to them that question thee.
translate English to Coptic	And the Lord said to him, Go, descend, and come up thou and Aaron with thee; but let not the priests and the people force their way to come up to God, lest the Lord destroy some of them.	ⲉⲡⲉⲥⲏⲧ ⲛⲧⲟⲕ ⲁⲩⲱ ⲁⲁⲣⲱⲛ ⲛⲙⲙⲁⲕ ⲛⲟⲩⲏⲏⲃ ⲇⲉ ⲙⲛⲡⲗⲁⲟⲥ ⲙⲡⲣⲧⲣⲉⲩϫⲓⲛϫⲛⲁϩ ⲉⲉⲓ ⲉϩⲣⲁⲓ ϣⲁⲡⲛⲟⲩⲧⲉ ⲙⲏⲡⲟⲧⲉ ⲛⲧⲉⲡϫⲟⲉⲓⲥ ⲧⲁⲕⲉϩⲟⲓⲛⲉ ⲉⲃⲟⲗ ⲛϩⲏⲧⲟⲩ
translate English to Coptic	thy heart shall be as water,	ⲉⲣⲉⲡⲉⲕϩⲏⲧ ⲃⲏⲗ ⲉⲃⲟⲗ ·
translate Coptic to English	ⲙⲁⲣⲉⲡⲉⲕϣⲃⲏⲣ ϣⲱⲡⲉ ⲛⲁⲕ ϩⲛⲙⲁ ⲛⲓⲙ ⲁⲩⲱ ⲛⲧⲉⲛⲉⲕⲥⲛⲏⲩ ϣⲱⲡⲉ ⲛⲁⲕ ⲛϣⲁⲩ ϩⲛⲛⲉⲕⲁⲛⲁⲅⲕⲏ ⲉⲩϫⲡⲟ ⲅⲁⲣ ⲙⲙⲟⲟⲩ ⲉⲡⲉⲓϩⲱⲃ	Have thou a friend for every time, and let brethren be useful in distress; for on this account are they born.
translate English to Coptic	When the heart rejoices the countenance is cheerful; but when it is in sorrow, the countenance is sad.	ϣⲁⲣⲉⲡϩⲏⲧ ⲉⲧⲉⲩⲫⲣⲁⲛⲉ ϯⲟⲩⲣⲟⲧ ⲙⲡϩⲟ ϣⲁϥⲱⲕⲙ ⲇⲉ ⲉϥϩⲛϩⲉⲛⲗⲩⲡⲉⲓ
translate English to Coptic	For thy mercy is great above the heavens, and thy truth reaches to the clouds.	ϫⲉⲟⲩⲛⲟϭ ⲡⲉ ⲡⲉⲕⲛⲁ ⲉϫⲛⲙⲡⲏⲩⲉ ⲁⲩⲱ ⲧⲉⲕⲙⲉ ⲡⲏϩ ϣⲁⲛⲉⲕⲗⲟⲟⲗⲉ
translate English to Coptic	Other seed fell on the rock, and as soon as it grew, it withered away, because it had no moisture.	ⲁϩⲉⲛⲕⲟⲟⲩⲉ ⲇⲉ ϩⲉ ⲉϫⲛⲙⲡⲉⲧⲣⲁ ⲁⲩⲱ ⲛⲧⲉⲣⲟⲩⲣⲱⲧ ⲁⲩϣⲟⲟⲩⲉ ϫⲉⲙⲙⲛⲁϭⲃⲉⲥ ϩⲁⲣⲟⲟⲩ .
translate English to Coptic	And Abimelech and all the people with him rose up by night, and formed an ambuscade against Sychem in four companies.	ⲁⲩⲱ ⲁⲃⲓⲙⲉⲗⲉⲭ ⲁϥⲧⲱⲟⲩⲛ ⲛⲧⲉⲩϣⲏ ⲛⲧⲟϥ ⲙⲛⲡⲗⲁⲟⲥ ⲧⲏⲣϥ ⲉⲧⲛⲙⲙⲁϥ ⲁⲩⲣⲕⲣⲟϥ ⲉⲣⲛⲥⲓⲕⲓⲙⲁ ϩⲛϥⲧⲟⲟⲩ ⲛⲙⲗⲁϩ
translate English to Coptic	And he said to her, 'Offer up sacrifice now, O Stephanou,'	ⲡⲉϫⲁϥ ⲛⲁⲥ ϫⲉⲑⲩⲥⲓⲁⲍⲉ ϭⲉ
translate Coptic to English	ⲁⲩⲱ ⲙⲛⲙⲁ ⲛϣⲱⲡⲉ ⲉⲧⲣⲉⲛⲣⲉϥⲣⲛⲟⲃⲉ ϩⲟⲡⲟⲩ	Neither shall there be a place for the workers of iniquity to hide themselves.
translate Coptic to English	ⲡⲉϫⲁϥ ⲛⲁϥ ⲛϭⲓⲁⲃⲣⲁϩⲁⲙ ϫⲉⲡⲛⲟⲩⲧⲉ ⲛⲁⲧⲛⲛⲟⲟⲩ ⲛⲁⲛ ⲙⲡⲉⲥⲟⲟⲩ ⲉⲡⲧⲁⲗⲟ ⲡⲁϣⲏⲣⲉ ⲛⲧⲉⲣⲟⲩⲙⲟⲟϣⲉ ϩⲓⲟⲩⲥⲟⲡ ⲙⲡⲉⲥⲛⲁⲩ	And Abraam said, God will provide himself a sheep for a whole-burnt-offering, son. And both having gone together,
translate English to Coptic	And for this purpose hast thou been preserved, that I might display in thee my strength, and that my name might bepublished in all the earth.	ⲉⲧⲃⲉⲡⲁⲓ ⲅⲁⲣ ⲛⲧⲁⲩϩⲁⲣⲉϩ ⲉⲣⲟⲕ ϫⲉⲉⲉⲓⲉⲟⲩⲱⲛⲉϩ ⲉⲃⲟⲗ ⲛⲧⲁϭⲟⲙ ϩⲣⲁⲓ ⲛϩⲏⲧⲕ ⲁⲩⲱ ⲛⲥⲉϫⲱ ⲙⲡⲁⲣⲁⲛ ϩⲙⲡⲕⲁϩ ⲧⲏⲣϥ
translate Coptic to English	ⲁⲩⲉⲓⲛⲉ ⲙⲡⲉⲛⲉϥⲟ ⲛⲃⲗⲗⲉ ⲉⲣⲁⲧⲟⲩ ⲛⲛⲉⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ .	They brought him who had been blind to the Pharisees.
translate English to Coptic	And Pharao rose up by night, and his servants, and all the Egyptians; and there was a great cry in all the land of Egypt, for there was not a house in which there was not one dead.	ⲁϥⲧⲱⲟⲩⲛ ⲛϭⲓⲫⲁⲣⲁⲱ ⲙⲛⲛⲉϥϩⲙϩⲁⲗ ⲛⲧⲉⲩϣⲏ ⲙⲛⲛⲣⲙⲛⲕⲏⲙⲉ ⲧⲏⲣⲟⲩ ⲁϥϣⲱⲡⲉ ⲛϭⲓⲟⲩⲛⲟϭ ⲛⲁϣⲕⲁⲕ ϩⲣⲁⲓ ϩⲙⲡⲕⲁϩ ⲧⲏⲣϥ ⲛⲕⲏⲙⲉ ⲛⲉⲙⲛⲏⲓ ⲅⲁⲣ ⲡⲉ ⲉⲙⲡⲉⲟⲩⲟⲛ ⲙⲟⲩ ⲛϩⲏⲧϥ
translate English to Coptic	and slew mighty kings; for his mercy endures for ever:	ⲉⲁϥⲙⲟⲩⲟⲩⲧ ⲛϩⲉⲛⲣⲣⲱⲟⲩ ⲉⲩⲧⲁϫⲣⲏⲩ ϫⲉⲟⲩϣⲁ ⲉⲛⲉϩ ⲡⲉ ⲡⲉϥⲛⲁ
translate Coptic to English	ⲡⲉϫⲉⲇⲁⲩⲉⲓⲇ ϫⲉϯⲛⲁⲉⲓⲣⲉ ⲛⲟⲩⲛⲁ ⲙⲛⲁⲛⲛⲱⲛ ⲡϣⲏⲣⲉ ⲛⲛⲁⲁⲁⲥ ⲕⲁⲧⲁⲧϩⲉ ⲛⲧⲁⲡⲉϥⲉⲓⲱⲧ ⲉⲓⲣⲉ ⲛⲙⲙⲁⲓ ⲛⲟⲩⲛⲁ ⲁⲩⲱ ⲁϥϫⲟⲟⲩ ⲛϭⲓⲇⲁⲩⲉⲓⲇ ⲉⲥⲗⲥⲱⲗⲉϥ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲛⲉϥϩⲙϩⲁⲗ ⲉϫⲙⲡⲉϥⲉⲓⲱⲧ ⲁⲩⲉⲓ ⲇⲉ ⲛϭⲓⲛϩⲙϩⲁⲗ ⲛⲇⲁⲩⲉⲓⲇ ⲉϩⲣⲁⲓ ⲉⲡⲕⲁϩ ⲛⲁⲙⲙⲱⲛ	And David said, I will shew mercy to Annon the son of Naas, as his father dealt mercifully with me. And David sent to comfort him concerning his father by the hand of his servants; and the servants of David came into the land of the children of Ammon.
translate Coptic to English	ⲡⲉⲧⲉⲧⲛⲁⲕⲱ ⲇⲉ ⲛⲁϥ ⲉⲃⲟⲗ ϯⲕⲱ ϩⲱ . ⲕⲁⲓⲅⲁⲣ ⲁⲛⲟⲕ ⲛⲧⲁⲓⲕⲱ ⲉⲃⲟⲗ ⲙⲡⲉⲛⲧⲁⲓ ⲕⲁⲁϥ ⲉⲃⲟⲗ ⲉⲧⲃⲉⲧⲏⲩⲧⲛ ϩⲙⲡϩⲟ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ .	Now I also forgive whomever you forgive anything. For if indeed I have forgiven anything, I have forgiven that one for your sakes in the presence of Christ,
translate English to Coptic	Say not thou, He hath caused me to err: for he hath no need of the sinful man.	ⲙⲡⲣϫⲟⲟⲥ ϫⲉⲛⲧⲟϥ ⲡⲉ ⲛⲧⲁϥⲡⲗⲁⲛⲁ ⲙⲙⲟⲓ ⲛϥⲣⲭⲣⲉⲓⲁ ⲅⲁⲣ ⲁⲛ ⲛⲟⲩⲣⲱⲙⲉ ⲛⲣⲉϥⲣⲛⲟⲃⲉ
translate Coptic to English	ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲟⲛ ⲛⲟⲩϩⲟⲟⲩ ⲁⲩⲣⲱⲙⲉ ⲉⲓ ϣⲁⲣⲟϥ ⲉⲃⲟⲗ ϩⲙⲡⲧⲟϣ ⲛⲕⲃⲧ · ⲉⲣⲉⲡⲉϥϣⲏⲣⲉ ⲙⲟⲟϣⲉ ⲛⲙⲙⲁϥ ⲉⲁϥⲉⲓ ⲉⲧⲑⲩⲗⲓⲕⲓⲁ ⲉⲧⲣⲉϥϩⲟⲧⲣϥ ⲉϩⲟⲩⲛ ⲉⲡⲅⲁⲙⲟⲥ ⲛⲥⲩⲙⲛⲟⲛ ·	Now it came to pass on a day that a certain man came unto him from the district of Kebt (Coptos), and there was travelling with him his son, who had reached a time of life when he might, very properly, have been permitted to undergo the yoke of matrimony.
translate Coptic to English	ⲁⲩⲱ ⲁⲩϭⲱⲡⲉ ⲙⲡⲁⲣⲭⲱⲛ ⲥⲛⲁⲩ ⲙⲙⲁⲇⲓϩⲁⲙ ⲉⲧⲉⲱⲣⲏⲃ ⲡⲉ ⲙⲛⲍⲏⲃ ⲁⲩⲱ ⲱⲣⲏⲃ ⲁⲩⲙⲟⲟⲩⲧϥ ϩⲛⲥⲟⲩⲣ ⲁⲩⲱ ⲍⲏⲃ ⲁⲩⲙⲟⲟⲩⲧϥ ϩⲙⲡⲓⲁ ⲛⲍⲏⲃ ⲁⲩⲱ ⲁⲩⲡⲱⲧ ⲛⲥⲁⲙⲁⲇⲓϩⲁⲙ ⲧⲁⲡⲉ ⲇⲉ ⲛⲱⲣⲏⲃ ⲙⲛⲍⲏⲃ ⲁⲩⲛⲧⲟⲩ ⲉⲣⲁⲧϥ ⲛⲅⲉⲇⲉⲱⲛ ⲉⲡⲉⲕⲣⲟ ⲙⲡⲓⲟⲣⲇⲁⲛⲏⲥ	And they took the princess of Madiam, even Oreb and Zeb; and they slew Oreb in Sur Oreb, and they slew Zeb in Jakephzeph; and they pursued Madiam, and brought the heads of Oreb and Zeb to Gedeon from beyond Jordan.
translate English to Coptic	And he that eats of their carcases shall wash his garments, and be unclean till evening; and he that carries any of their carcases shall wash his garments, and bathe himself in water, and be unclean till evening.	ⲁⲩⲱ ⲡⲉⲧⲛⲁⲟⲩⲱⲙ ⲉⲃⲟⲗ ϩⲛⲛⲉⲛⲧⲁⲩⲙⲟⲩ ⲛϩⲏⲧⲟⲩ ⲉϥⲉϣⲱⲙ ⲛⲛⲉϥϩⲟⲓⲧⲉ ⲁⲩⲱ ⲉϥⲉⲱⲱⲡⲉ ⲉϥϫⲁϩⲙ ϣⲁⲡⲛⲁⲩ ⲛⲣⲟⲩϩⲉ ⲁⲩⲱ ⲡⲉⲧⲛⲁϥⲓ ⲉⲃⲟⲗ ϩⲛⲛⲉⲧⲙⲟⲟⲩⲧ ⲛϩⲏⲧⲟⲩ ⲉϥⲉϣⲱⲙ ⲛⲛⲉϥϩⲟⲓⲧⲉ ⲛϥϫⲱⲕⲙ ϩⲛⲟⲩⲙⲟⲟⲩ ⲁⲩⲱ ⲉϥⲉϭⲱ ⲉϥϫⲁϩⲙ ϣⲁⲇⲛⲁⲩ ⲛⲣⲟⲩϩⲉ
translate Coptic to English	ⲟⲩⲁⲩⲁⲁⲛ ⲛⲛⲟⲩⲃ ϩⲓϩⲁⲧ ϩⲓⲉⲛⲉ ⲙⲙⲉ ϩⲓⲙⲁⲣⲅⲁⲣⲓⲧⲏⲥ ϩⲓϣⲛⲥ ϩⲓϫⲏϭⲉ ϩⲓⲥⲓⲣⲓⲕⲟⲛ ϩⲓⲕⲟⲕⲕⲟⲥ ϩⲓϣⲉ ⲛⲑⲓⲛⲟⲛ ϩⲓⲥⲕⲉⲟⲥ ⲛⲓⲙ ⲛⲉⲗⲉⲫⲁⲛⲧⲓⲛⲟⲛ ϩⲓⲥⲕⲉⲟⲥ ⲛⲓⲙ ⲛϣⲉ ⲉϥⲧⲁⲓⲏⲩ ϩⲓϩⲟⲙⲛⲧ ϩⲓⲡⲉⲛⲓⲡⲉ ϩⲓⲙⲁⲣⲙⲁⲣⲟⲛ	merchandise of gold, silver, precious stones, pearls, fine linen, purple, silk, scarlet, all expensive wood, every vessel of ivory, every vessel made of most precious wood, and of brass, and iron, and marble;
translate Coptic to English	ⲛⲧⲉⲛⲉⲛϩⲃⲏⲩⲉ ⲧⲏⲣⲟⲩ ⲉⲛⲧⲁⲛⲁⲁⲩ ⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ⲛⲉⲧⲟⲩⲟⲛϩ ⲉⲃⲟⲗ ⲙⲛⲛⲉⲧϩⲏⲡ · ⲛⲁⲧⲉⲩϣⲏ · ⲁⲩⲱ ⲛⲁⲡⲉϩⲟⲟⲩ · ⲛⲉⲛⲧⲁⲛⲁⲁⲩ ϩⲛⲟⲩⲙⲛⲧⲁⲧϯϩⲧⲏϥ ⲙⲛⲟⲩⲣⲡⲱⲃϣ ·	Then shall all the works which we have done be laid bare, those which we have done openly, and those which we have done in secret, and the things which have been done in the night season, and those which have been done in the daytime, and those which we have done inadvertently, and the faults of forgetfulness
translate Coptic to English	ⲁⲗⲗⲏⲗⲟⲩⲓⲁ ⲥⲙⲟⲩ ⲉⲡϫⲟⲉⲓⲥ ϩⲛⲛⲉϥⲡⲉⲧⲟⲩⲁⲁⲃ ⲥⲙⲟⲩ ⲉⲣⲟϥ ϩⲙⲡⲉⲥⲧⲉⲣⲉⲱⲙⲁ ⲛⲧⲉϥϭⲟⲙ	Praise God in his holy places: praise him in the firmament of his power.
translate Coptic to English	ⲙⲡⲣⲕⲧⲉⲡⲉⲕϩⲟ ⲛⲥⲁⲃⲟⲗ ⲙⲡⲉⲕϩⲙϩⲁⲗ ϫⲉϯⲑⲗⲓⲃⲉ ⲥⲱⲧⲙ ⲉⲣⲟⲓ ϩⲛⲟⲩϭⲉⲡⲏ	And turn not away thy face from thy servant; for I am afflicted: hear me speedily.
translate English to Coptic	For I will take away the rejoicing of her great multitude, and her pride shall be turned into mourning.	ⲁⲩⲱ ϯ ⲁϥⲓ ⲛⲧⲙⲛⲧⲥⲁⲓⲉ ⲙⲡⲉⲥⲙⲏⲏϣⲉ ⲩⲱ ⲡⲉⲥϣⲟⲩϣⲟⲩ ⲧⲉⲧⲛϩⲏⲧⲥ ⲛⲁϣⲱⲡⲉ ⲛϩⲏⲃⲉ
translate Coptic to English	ϫⲉⲡⲉⲛⲧⲁⲕⲡⲁⲧⲁⲥⲥⲉ ⲙⲙⲟϥ ⲁⲩⲇⲓⲱⲕⲉ ⲛⲥⲱϥ ⲁⲩⲱ ⲁⲩⲟⲩⲱⲙ ⲉϩⲣⲁⲓ ⲉϫⲙⲡⲉⲙⲕⲁϩ ⲙⲡⲉϥⲥⲁϣ	Because they persecuted him whom thou hast smitten; and they have added to the grief of my wounds.
translate English to Coptic	Keep thine heart with the utmost care; for out of these are the issues of life.	ϩⲛϩⲁⲣⲉϩ ⲛⲓⲙ ϩⲁⲣⲉϩ ⲉⲡⲉⲕϩⲏⲧ ϩⲉⲛϩⲓⲟⲟⲩⲉ ⲅⲁⲣ ⲛⲱⲛϩ ⲛⲉ ⲛⲉⲃⲟⲗ ϩⲛⲛⲁⲓ
translate Coptic to English	ⲙⲡⲗⲓⲃⲁⲛⲟⲥ ⲇⲉ ⲣⲱϣⲉ ⲁⲛ ⲉⲣⲱⲕϩ ⲁⲩⲱ ⲛⲧⲃⲛⲟⲟⲩⲉ ⲧⲏⲣⲟⲩ ⲣⲱϣⲉ ⲁⲛ ⲉⲡⲧⲁⲗⲟ	And Libanus is not enough to burn, nor all beasts enough for a whole-burnt offering:
translate Coptic to English	ϫⲉⲕⲁⲁⲥ ⲉⲕⲉⲓⲙⲉ ⲉⲡⲱⲣϫ ⲛⲛϣⲁϫⲉ ⲉⲛⲧⲁⲩⲕⲁⲑⲏⲕⲓ ⲙⲙⲟⲕ ⲛϩⲏⲧⲟⲩ .	that you might know the certainty concerning the things in which you were instructed.
translate English to Coptic	Don't marvel that I said to you, 'You must be born anew.'	ⲙⲡⲣⲣϣⲡⲏⲣⲉ ϫⲉⲁⲓϫⲟⲟⲥ ⲛⲁⲕ ϫⲉϩⲁⲡⲥ ⲉⲧⲣⲉⲩϫⲡⲉ ⲧⲏⲩⲧⲛ ⲛⲕⲉⲥⲟⲡ .
translate English to Coptic	And Michaias said, Because ye have taken my graven image which I made, and my priest, and are gone; and what have I remaining? and what is this that ye say to me, Why criest thou?	ⲡⲉϫⲉⲙⲓⲭⲁ ⲛⲁⲩ ϫⲉⲉⲃⲟⲗϫⲉ ⲁⲧⲉⲧⲛϥⲓ ⲛⲛⲁⲛⲟⲩⲧⲉ ⲉⲛⲧⲁⲓⲧⲁⲙⲓⲟⲟⲩ ⲛⲁⲓ ⲁⲩⲱ ⲡⲟⲩⲏⲏⲃ ⲁⲧⲉⲧⲛⲃⲱⲕ ⲁⲩⲱ ⲟⲩ ⲡⲉ ⲡⲁϩⲏⲩ ϫⲓⲛⲙⲡⲉⲓⲛⲁⲩ ⲁⲩⲱ ⲛⲧⲱⲧⲛ ⲧⲉⲧⲛϫⲱ ⲙⲙⲟⲥ ⲛⲁⲓ ϫⲉⲁϩⲣⲟⲕ ⲕϫⲓϣⲕⲁⲕ ⲉⲃⲟⲗ
translate Coptic to English	…… ⲙⲡⲉⲙⲧⲟ ⲉⲃⲟⲗ ⲛⲛⲣⲱⲙⲉ ………ⲛⲉⲕⲥⲡⲟⲧⲟⲩ	Be not an hypocrite in the sight of men, and take good heed what thou speakest.
translate English to Coptic	and Banaeas son of Jodae was councillor, and the Chelethite and the Phelethite, and the sons of David, were princes of the court.	ⲁⲩⲱ ⲃⲁⲛⲉⲁⲥ ⲡϣⲏⲣⲉ ⲛⲓⲱⲇⲁⲉ ⲛⲧⲟϥ ⲡⲉⲧⲟ ⲛⲥⲩⲙⲃⲟⲗⲟⲥ ⲡⲉⲭⲉⲣⲉⲑⲑⲓ ⲇⲉ ⲙⲛⲡⲟⲫⲉⲗⲉⲑⲓ ⲛϣⲏⲣⲉ ⲛⲇⲁⲩⲉⲓⲇ ⲛⲧⲟⲟⲩ ⲛⲉ ⲛⲉⲁⲣⲭⲱⲛ ⲛⲧⲁⲩⲗⲏ ⲙⲡⲣⲣⲟ
translate English to Coptic	We are witnesses of everything he did both in the country of the Jews, and in Jerusalem; whom they also killed, hanging him on a tree.	ⲁⲩⲱ ⲁⲛⲟⲛ ⲧⲛⲟ ⲙⲙⲛⲧⲣⲉ ⲛϩⲱⲃ ⲛⲓⲙ ⲛⲧⲁϥⲁⲁⲩ ϩⲛⲧⲉⲭⲱⲣⲁ ⲛⲧⲓⲟⲩⲇⲁⲓⲁ ⲙⲛⲧϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ . ⲡⲁⲓ ⲛⲧⲁⲩⲙⲟⲟⲩⲧϥ ⲉⲁⲩⲁϣⲧϥ ⲉⲩϣⲉ .
translate English to Coptic	But he said to them, 'I must preach the good news of the Kingdom of God to the other cities also. For this reason I have been sent.'	ⲛⲧⲟϥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲁⲩ ϫⲉϩⲁⲡⲥ ⲉⲧⲣⲁⲉⲩⲁⲅⲅⲉⲗⲓⲍⲉ ⲛⲛⲕⲉⲡⲟⲗⲓⲥ ⲛⲧⲙⲛⲧⲣⲣⲟ ⲙⲡⲛⲟⲩⲧⲉ ϫⲉⲛⲧⲁⲩⲧⲛⲛⲟⲟⲩⲧ ⲅⲁⲣ ⲉⲡⲉⲓϩⲱⲃ .
translate Coptic to English	ϥⲓ ϩⲁⲛⲃⲁⲣⲟⲥ ⲛⲛⲉⲧⲛⲉⲣⲏⲩ . ⲁⲩⲱ ⲛⲧⲉⲓϩⲉ ⲧⲉⲧⲛⲁϫⲱⲕ ⲉⲃⲟⲗ ⲙⲡⲛⲟⲙⲟⲥ ⲙⲡⲛⲟⲩⲧⲉ .	Bear one another's burdens, and so fulfill the law of Christ.
translate Coptic to English	ⲡⲉϫⲉⲡⲉⲭⲉⲓⲣⲟⲩⲃⲉⲓⲛ ⲛⲁⲓ ϫⲉⲕⲛⲁⲩ	And the Cherubim said unto me, Dost thou see these great winds which are shut up inside their storehouses, over which the angels are set?
translate English to Coptic	And they brought David word, saying, Urias has not gone down to his house. And David said to Urias, Art thou not come from a journey? why hast thou not gone down to thy house?	ⲁⲩⲧⲁⲙⲉ ⲡⲣⲣⲟ ⲇⲉ ⲉⲩϫⲱ ⲙⲙⲟⲥ ϫⲉⲙⲡⲉⲟⲩⲣⲓⲁⲥ ⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲡⲉϥⲏⲓ ⲁⲩⲱ ⲇⲁⲩⲉⲓⲇ ⲁϥⲙⲟⲩⲧⲉ ⲉⲟⲩⲣⲓⲁⲥ ⲉϥϫⲱ ⲙⲙⲟⲥ ⲛⲁϥ ϫⲉⲙⲏ ⲛⲧⲁⲕⲉⲓ ⲁⲛ ⲛⲧⲟⲕ ϩⲛⲧⲉϩⲓⲏ ⲉⲧⲃⲉⲟⲩ ϭⲉ ⲛⲧⲟⲕ ⲙⲡⲉⲕⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲡⲉⲕⲏⲓ
