Coptic,English
ⲡⲣⲣⲟ ⲇⲉ ⲁϥⲙⲟⲩⲧⲉ,"And the Emperor called him, and asked him why he did not come into the temple of Apollo, (saying), 'Thou must pour out a libation to the gods in return for thy victory, and because thou hast returned from the war, and thou must offer up sacrifices of thanksgiving to them, especially as thou hast found thy wife and thy sons.'"
ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲛⲁⲓ ⲛⲏⲟⲩ ⲙⲡⲟⲩⲉ ⲁⲩⲱ ⲛⲉⲓⲕⲟⲟⲩⲉ ⲉⲃⲟⲗ ϩⲙⲡⲉⲙϩⲓⲧ ⲙⲛⲧⲑⲁⲗⲁⲥⲥⲁ ϩⲉⲛⲕⲟⲟⲩⲉ ⲇⲉ ⲉⲃⲟⲗ ϩⲙⲡⲕⲁϩ ⲛⲛⲡⲉⲣⲥⲟⲥ,"Behold, these shall come from far: and these from the north and the west, and others from the land of the Persians."
ⲉⲧⲉⲡⲁⲓ ⲡⲉ ϫⲉⲛϣⲏⲣⲉ ⲁⲛ ⲛⲧⲥⲁⲣⲝ ⲛⲁⲓ ⲛⲉ ⲛϣⲏⲣⲉ ⲙⲡⲛⲟⲩⲧⲉ . ⲁⲗⲗⲁ ⲛϣⲏⲣⲉ ⲙⲡⲉⲣⲏⲧ ⲛⲉⲧⲟⲩⲛⲁⲟⲡⲟⲩ ⲉⲡⲉⲥⲡⲉⲣⲙⲁ .,"That is, it is not the children of the flesh who are children of God, but the children of the promise are counted as a seed."
ⲡⲗⲏⲛ ϯϫⲱ ⲙⲙⲟⲥ ⲛⲏⲧⲛ . ϫⲉⲟⲩⲛⲟⲩⲙⲧⲟⲛ ⲛⲁϣⲱⲡⲉ ⲛⲧⲩⲣⲟⲥ ⲙⲛⲥⲓⲇⲱⲛ ⲙⲡⲉϩⲟⲟⲩ ⲛⲧⲉⲕⲣⲓⲥⲓⲥ ⲉϩⲟⲩⲉⲉⲣⲱⲧⲛ .,"But I tell you, it will be more tolerable for Tyre and Sidon on the day of judgment than for you."
ⲡⲉϫⲉϩⲟⲓⲛⲉ ⲛⲛⲉⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ ϫⲉⲉⲧⲃⲉⲟⲩ ⲧⲉⲧⲛⲓⲣⲉ ⲙⲡⲉⲧⲉⲙⲉϣϣⲉ ϩⲙⲡⲥⲁⲃⲃⲁⲧⲟⲛ .,"But some of the Pharisees said to them, 'Why do you do that which is not lawful to do on the Sabbath day?'"
ⲁⲩⲱ ⲛⲛⲁⲕⲱ ⲛⲥⲱⲓ ⲛⲛⲉϥⲟⲩⲉϩⲥⲁϩⲛⲉ ⲁⲓϩⲱⲡ ⲇⲉ ⲛⲛⲉϥϣⲁϫⲉ ϩⲛⲕⲟⲩⲛⲧ .,neither shall I transgress; but I have hid his words in my bosom.
ⲛⲉⲩⲛ ⲟⲩⲁ ⲇⲉ ϣⲱⲛⲉ ϫⲉⲗⲁⲍⲁⲣⲟⲥ ⲉⲃⲟⲗ ϩⲛⲃⲏⲑⲁⲛⲓⲁ ⲡϯⲙⲉ ⲙⲙⲁⲣⲓⲁ ⲛⲙⲙⲁⲣⲑⲁ ⲧⲉⲥⲥⲱⲛⲉ .,"Now a certain man was sick, Lazarus from Bethany, of the village of Mary and her sister, Martha."
ⲉⲧϭⲁⲉⲓⲟ ⲛⲟⲩⲣⲱⲙⲉ ϩⲙⲡⲧⲣⲉⲩϯ ϩⲁⲡ ⲉⲣⲟⲩ ⲉⲙⲡⲉⲡϫⲟⲉⲓⲥ ϫⲟⲟⲥ,"to condemn a man unjustly in his judgment, the Lord has not given commandment."
ⲁⲡϫⲟⲉⲓⲥ ϣⲱⲡⲉ ⲙⲙⲁ ⲙⲡⲱⲧ ⲙⲡϩⲏⲕⲉ ⲛⲃⲟⲏⲑⲟⲥ ϩⲙⲡⲉⲟⲩⲟⲉⲓϣ ⲛⲧⲉⲑⲗⲓⲯⲓⲥ,"The Lord also is become a refuge for the poor, a seasonable help, in affliction."
ⲛⲁⲛⲟⲩ ⲛⲉⲛⲧⲁⲩϣⲟⲟϭⲟⲩ ϩⲛⲧⲥⲏϥⲉ ⲉϩⲟⲩⲉ ⲛⲉⲛⲧⲁⲩϣⲱϭⲉ ϩⲙⲡϩⲉⲃⲱⲱⲛ ϫⲉⲁⲩⲙⲟⲟϣⲉ ⲉⲩϫⲟⲧϩ ϩⲁⲡⲉϩⲕⲟ ⲛⲟⲉⲓⲕ ⲙⲛⲛⲉϩⲣⲏⲩⲉ ⲛⲧⲥⲱϣⲉ,"TETH. The slain with the sword were better than they that were slain with hunger: they have departed, pierced through from want of the fruits of the field."
ⲥⲉⲛⲁⲟⲩⲱϩ ⲅⲁⲣ ⲉⲣⲟⲕ ⲛⲟⲩⲛⲟϭ ⲛⲁϩⲉ ⲙⲛϩⲉⲛⲣⲙⲡⲟⲟⲩⲉ ⲛⲱⲛϩ ⲙⲛⲟⲩⲉⲓⲣⲏⲛⲏ,"for length of existence, and years of life, and peace, shall they add to thee."
ⲁⲩⲱ ⲓⲏⲥⲟⲩⲥ ⲁϥϫⲟⲟⲩ ⲛϩⲉⲛϥⲁⲓϣⲓⲛⲉ ⲛⲥⲱⲟⲩ ⲁⲩⲱ ⲁⲩⲡⲱⲧ ⲉϩⲣⲁⲓ ⲉⲧⲉⲥⲕⲩⲛⲏ ⲉⲧⲡⲉⲣⲉⲙⲃⲟⲗⲏ ⲁⲩⲱ ⲛⲁⲓ ⲉⲩⲗⲏϭ ϩⲛⲧⲉⲥⲕⲩⲛⲏ ⲁⲩⲱ ⲡϩⲁⲧ ⲉⲛⲉϥϩⲁⲣⲟⲟⲩ,"And Joshua sent messengers, and they ran to the tent into the camp; and these things were hidden in his tent, and the silver under them."
ⲁⲕⲥⲟⲟϥ ⲙⲛⲛⲉⲧⲙⲟⲟⲩⲧ ⲁⲩⲟⲡⲕ ⲙⲛⲛⲉⲧⲃⲏⲕ ⲉⲡⲉⲥⲏⲧ ⲉⲁⲙⲛⲧⲉ,That thou art counted with them that go down into the grave?
ⲁϥⲱⲣⲕ ⲉϥϫⲱ ⲙⲙⲟⲥ · ϫⲉϣⲉⲡⲁⲡⲟⲗⲗⲱⲛ,"and he swore an oath, saying, ' By Apollo, the greatest of the gods, I will deliver thee over to the Emperor (so that) He may destroy thee."
ⲁϥⲃⲱⲕ ⲇⲉ ⲉϩⲟⲩⲛ ⲛϭⲓⲙⲱⲩⲥⲏⲥ ⲁϥϫⲱ ⲛⲛⲁϩⲣⲙⲡⲗⲁⲟⲥ ⲛⲛϣⲁϫⲉ ⲧⲏⲣⲟⲩ ⲙⲡⲛⲟⲩⲧⲉ ⲙⲛⲛⲉϥⲇⲓⲕⲁⲓⲱⲙⲁ ⲁϥⲟⲩⲱϣⲃ ⲇⲉ ⲛϭⲓⲡⲗⲁⲟⲥ ⲧⲏⲣϥ ϩⲛⲟⲩⲥⲙⲏ ⲛⲟⲩⲱⲧ ⲉⲩϫⲱ ⲙⲙⲟⲥ ϫⲉⲛϣⲁϫⲉ ⲧⲏⲣⲟⲩ ⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ ϫⲟⲟⲩ ⲧⲛⲛⲁⲁⲩ ⲁⲩⲱ ⲛⲧⲛⲥⲱⲧⲙ ⲉⲣⲟⲟⲩ,"And Moses went in and related to the people all the words of God and the ordinances; and all the people answered with one voice, saying, All the words which the Lord has spoken, we will do and be obedient."
ⲛⲥⲉⲣⲡⲙⲉⲉⲩⲉ ⲛⲛⲁⲛⲟⲙⲓⲁ ⲛⲛⲉϥⲉⲓⲟⲧⲉ ⲙⲡⲉⲙⲧⲟ ⲉⲃⲟⲗ ⲙⲡϫⲟⲉⲓⲥ ⲛⲥⲉⲧⲙϥⲱⲧⲉ ⲉⲃⲟⲗ ⲙⲡⲛⲟⲃⲉ ⲛⲧⲉϥⲙⲁⲁⲩ,Let the iniquity of his fathers be remembered before the Lord; and let not the sin of his mother be blotted out.
ⲛⲉⲧⲉⲙⲡⲟⲩⲟⲩⲱϣ ⲉⲥⲱⲧⲙ ⲛⲥⲁⲛⲁϣⲁϫⲉ ⲁⲗⲗⲁ ⲁⲩⲃⲱⲕ ⲁⲩⲟⲩⲁϩⲟⲩ ⲛⲥⲁϩⲙⲛⲛⲟⲩⲧⲉ ⲛϣⲙⲙⲟ ⲉⲧⲣⲉⲩⲣ ϩⲙϩⲁⲗ ⲛⲁⲩ ⲁⲩⲱ ⲛⲥⲉⲟⲩⲱϣⲧ ⲛⲁⲩ ⲉⲩϣⲱⲡⲉ ⲛⲧϩⲉ ⲙⲡⲉⲓⲡⲉⲣⲓⲍⲱⲙⲁ ⲡⲁⲓ ⲉⲧⲉⲛϥⲛⲁⲣ ϣⲁⲩⲁⲛ ϭⲉ ⲉⲗⲁⲁⲩ,"even this great pride of the men that will not hearken to my words, and have gone after strange gods, to serve them, and to worship them: and they shall be as this girdle, which can be used for nothing."
ⲁⲩⲱ ⲡⲉϫⲁⲩ ⲛⲛⲉⲩⲉⲣⲏⲩ ϫⲉⲁⲙⲏⲓⲧⲛ ⲛⲧⲛϣⲟϫⲛⲉ ⲛⲟⲩⲙⲟⲕⲙⲉⲕ ⲉⲓⲉⲣⲏⲙⲓⲁⲥ ϫⲉⲛϥⲛⲁⲧⲁⲕⲟ ⲁⲛ ⲛϭⲓⲡⲛⲟⲙⲟⲥ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲟⲩⲏⲏⲃ ⲁⲩⲱ ⲟⲩϣⲟϫⲛⲉ ⲉⲃⲟⲗ ϩⲓⲧⲛⲟⲩⲥⲁⲃⲉ ⲁⲩⲱ ⲟⲩϣⲁϫⲉ ⲉⲃⲟⲗ ϩⲓⲧⲛⲟⲩⲡⲣⲟⲫⲏⲧⲏⲥ ⲁⲙⲏⲓⲧⲛ ⲛⲧⲛϫⲓ ⲕⲣⲟϥ ⲙⲙⲟϥ ϩⲛⲟⲩϣⲁϫⲉ ⲛⲧⲛⲥⲱⲧⲙ ⲉⲛⲉϥϣⲁϫⲉ ⲧⲏⲣⲟⲩ,"Then they said, Come, and let us devise a device against Jeremias; for the law shall not perish from the priest, nor counsel from the wise, nor the word from the prophet. Come, and let us smite him with the tongue, and we will hear all his words."
ⲧⲟⲧⲉ ⲁϥϫⲱ ⲛϭⲓⲙⲱⲩⲥⲏⲥ ⲛⲧⲟϥ ⲙⲛⲛϣⲏⲣⲉ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲛⲧⲉⲓϩⲱⲇⲏ ⲙⲡⲛⲟⲩⲧⲉ ⲁⲩⲱ ⲡⲉϫⲁⲩ ϫⲉⲁϫⲓⲥ ϫⲉⲙⲁⲣⲛⲥⲙⲟⲩ ⲉⲡⲛⲟⲩⲧⲉ ϩⲛⲟⲩⲉⲟⲟⲩ ⲅⲁⲣ ⲁϥϫⲓⲉⲟⲟⲩ ⲟⲩϩⲧⲟ ⲙⲛⲡⲉⲧⲧⲁⲗⲉ ⲉϫⲱϥ ⲁϥⲛⲟϫϥ ⲉϩⲣⲁⲓ ⲉⲑⲁⲗⲁⲥⲥⲁ,"Then sang Moses and the children of Israel this song to God, and spoke, saying, Let us sing to the Lord, for he is very greatly glorified: horse and rider he has thrown into the sea."
ⲥⲉⲛⲁϫⲓ ⲛϩⲉⲛⲡⲁⲣⲑⲉⲛⲟⲥ ⲙⲡⲣⲣⲟ ϩⲓⲡⲁϩⲟⲩ ⲙⲙⲟⲥ ⲥⲉⲛⲁⲉⲓⲛⲉ ⲛⲁⲕ ⲛⲛⲉⲧϩⲓⲧⲟⲩⲱⲥ,in embroidered clothing: virgins shall be brought to the king after her: her fellows shall be brought to thee.
ⲁⲛⲟⲛ ⲇⲉ ⲛⲉⲥⲛⲏⲩ ⲉⲁⲛⲣⲡⲉⲧⲛⲃⲟⲗ ⲡⲣⲟⲥⲡⲟⲩⲟⲉⲓϣ ⲛⲛⲁⲟⲩⲟⲩⲛⲟⲩ ϩⲙⲡϩⲟ ϩⲙⲡϩⲏⲧ ⲁⲛ . ⲁⲛϭⲉⲡⲏ ⲛϩⲟⲩⲟ ⲉⲛⲁⲩ ⲉⲛⲉⲧⲛϩⲟ ϩⲛⲟⲩⲛⲟϭ ⲛⲟⲩⲱϣ,"But we, brothers, being bereaved of you for a short season, in presence, not in heart, tried even harder to see your face with great desire,"
ⲁⲩⲣⲱⲕϩ ⲙⲡⲉⲕⲡⲉⲧⲟⲩⲁⲁⲃ ϩⲛⲟⲩⲕⲱϩⲧ ⲁⲩⲧⲁⲟⲩⲟ ⲉⲡⲉⲥⲏⲧ ⲙⲡⲙⲁ ⲛϣⲱⲡⲉ ⲙⲡⲉⲕⲣⲁⲛ,They have burnt thy sanctuary with fire to the ground; they have profaned the habitation of thy name.
ⲙⲡⲣⲧⲣⲉⲗⲁⲁⲩ ϭⲉ ⲟⲩⲛ ⲛⲣⲱⲙⲉ ⲣⲁⲡⲓⲥⲧⲟⲥ,"Therefore let no man allow himself to be unbelieving concerning this matter which I have related unto him concerning the holy man Apa Pisentius the bishop, for he was worthy to see Elijah the Tishbite."
ⲉⲧⲃⲉⲡⲁⲓ ⲉⲓⲥ ϩⲏⲏⲧⲉ ⲁⲛⲟⲕ ϯϣⲟⲟⲡ ⲟⲩⲃⲉ ⲛⲉⲡⲣⲟⲫⲏⲧⲏⲥ ⲡⲉϫⲉⲡϫⲟⲉⲓⲥ …,"Behold, I am therefore against the prophets, saith the Lord God, that steal my words every one from his neighbour."
ⲙⲡⲣⲥⲱⲧⲙ ⲛⲥⲁⲛⲇⲁⲓⲙⲟⲛⲓⲟⲛ ⲛⲅⲣⲙⲙⲉⲗⲟⲥ ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ ⲙⲙⲉⲗⲟⲥ ⲙⲡⲟⲣⲛⲏ ·,"Do not hearken to the devils, and make the member of the Christ into the member of a whore."
ϫⲱ ⲛⲛⲁⲓ ⲁⲩⲱ ⲛⲅⲡⲁⲣⲁⲕⲁⲗⲉⲓ ⲛⲅϫⲡⲓⲟ ϩⲛⲟⲩⲉϩⲥⲁϩⲛⲉ ⲛⲓⲙ . ⲙⲡⲣⲧⲣⲉⲗⲁⲁⲩ ⲕⲁⲧⲁⲫⲣⲟⲛⲉⲓ ⲙⲙⲟⲕ .,Say these things and exhort and reprove with all authority. Let no man despise you.
ⲥⲁⲙⲟⲩⲏⲗ ⲇⲉ ⲁϥϫⲓⲥⲉ ⲁⲩⲱ ⲡϫⲟⲉⲓⲥ ⲛⲉϥϣⲟⲟⲡ ⲛⲙⲙⲁϥ ⲉⲙⲡⲉ ⲗⲁⲁⲩ ϩⲛⲛⲉϥϣⲁϫⲉ ⲧⲏⲣⲟⲩ ϩⲉ ⲉⲃⲟⲗ ϩⲓϫⲙⲡⲕⲁϩ,"And Samuel grew, and the Lord was with him, and there did not fall one of his words to the ground."
ϩⲛⲟⲩⲧⲁⲕⲟ ⲉⲧⲉⲧⲛⲉⲧⲁⲕⲟ ⲛⲛⲉⲩⲙⲁ ⲧⲏⲣⲟⲩ ⲉⲛⲧⲁⲩϣⲙϣⲉ ⲛϩⲏⲧⲟⲩ ⲛⲛⲉⲩⲛⲟⲩⲧⲉ ⲛϭⲓⲛϩⲉⲑⲛⲟⲥ ⲛⲁⲓ ⲛⲧⲱⲧⲛ ⲉⲧⲉⲧⲛⲛⲁⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ ⲙⲙⲟⲟⲩ ⲉϣⲁⲩⲧⲁⲗⲉ ⲑⲩⲥⲓⲁ ⲉϩⲣⲁⲓ ⲉϫⲛⲛⲧⲟⲩⲉⲓⲏ ⲉⲧϫⲟⲥⲉ ⲁⲩⲱ ϩⲓϫⲛⲛⲉⲕⲣⲣⲱⲟⲩ ⲛⲧⲉⲑⲁⲗⲁⲥⲥⲁ ⲁⲩⲱ ϩⲁⲣⲟⲟⲩ ⲛⲛϣⲏⲛ ⲉⲧⲟ ⲛϩⲁⲓⲃⲉⲥ,"Ye shall utterly destroy all the places in which they served their gods, whose land ye inherit, on the high mountains and on the hills, and under the thick tree."
ⲛⲧⲉⲣⲉϥⲡⲟⲟⲛⲉϥ ⲇⲉ ⲉⲃⲟⲗ ϩⲙⲡⲙⲟⲉⲓⲧ ⲛⲣⲱⲙⲉ ⲇⲉ ⲧⲏⲣⲟⲩ ⲙⲡⲓⲥⲣⲁⲏⲗ ⲁⲩⲡⲁⲣⲁⲅⲉ ⲉⲩⲟⲩⲏϩ ⲛⲥⲁⲓⲱⲁⲃ ⲉⲡⲱⲧ ⲛⲥⲁⲥⲁⲃⲉⲉ ⲡϣⲏⲣⲉ ⲛⲃⲟⲭⲟⲣⲓ,"And when he was quickly removed from the road, every man of Israel passed after Joab to pursue after Sabee the son of Bochori."
ⲁⲗⲗⲁ ⲉⲣⲉⲡϫⲟⲉⲓⲥ ⲛⲁϣⲁϫⲉ ⲛⲙⲙⲁⲕ ⲛⲁϣⲛϩⲉ .,"But oh that the Lord would speak to thee, and open his lips to thee!"
ⲁⲓⲛⲟⲩϭⲥ ⲉϫⲛⲡⲁⲗⲁⲟⲥ ⲁⲥⲱⲱϥ ⲛⲧⲁⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲁⲛⲟⲕ ⲁⲓϯ ⲛⲧⲁⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ ⲉⲧⲟⲩϭⲓϫ ⲛⲧⲟ ⲇⲉ ⲙⲡⲉϯ ⲗⲁⲁⲩ ⲛⲁⲩ ⲛⲛⲁⲁϩⲣⲟϣ ⲙⲡⲛⲁϩⲃⲉϥ ⲙⲡϩⲗⲗⲟ ⲉⲙⲁⲧⲉ,"I have been provoked with my people; thou hast defiled mine inheritance: I gave them into thy hand, but thou didst not extend mercy to them: thou madest the yoke of the aged man very heavy,"
ⲟⲩⲛⲡⲉⲧⲉⲛϥⲣⲛⲟⲃⲉ ⲁⲛ ⲉⲧⲃⲉⲧⲉϥⲙⲛⲧϩⲏⲕⲉ,"There is that is hindered from sinning through want: and when he taketh rest, he shall not be troubled."
ⲙⲡⲣϣⲟϫⲛⲉ ⲙⲛⲟⲩⲥⲟϭ ⲙⲛϣϭⲟⲙ ⲙⲙⲟⲟⲩ ⲉⲁⲙⲁϩⲧⲉ ⲛⲛϣⲁϫⲉ,Consult not with a fool; for he cannot keep counsel.
ⲉⲧⲉⲧⲛⲁϣⲱⲡ ⲛⲧⲟⲟⲧⲟⲩ ⲛⲛⲉⲧⲉⲧⲛⲁⲟⲩⲟⲙⲟⲩ ⲉⲟⲩⲱⲙ ⲁⲩⲱ ⲛⲧⲉⲧⲛϫⲓ ⲛⲧⲟⲟⲧⲟⲩ ⲛⲟⲩⲙⲟⲟⲩ ϩⲛⲟⲩϣⲓ ϩⲁϩⲟⲙⲧ ⲛⲧⲉⲧⲛⲥⲟⲟϥ,"Buy food of them for money and eat, and ye shall receive water of them by measure for money, and drink."
ⲁⲩⲱ ⲡⲣⲣⲟ ⲁϥϫⲓⲟⲟⲣ ⲉⲅⲁⲗⲅⲁⲗⲁ ⲭⲁⲙⲁⲁⲙ ⲇⲉ ⲁϥϫⲓⲟⲟⲣ ⲛⲙⲙⲁϥ ⲁⲩⲱ ⲡⲗⲁⲟⲥ ⲧⲏⲣϥ ⲛⲓⲟⲩⲇⲁ ⲁⲩϫⲓⲟⲟⲣ ⲙⲛⲡⲣⲣⲟ ⲁⲩⲱ ⲧⲡⲁϣⲉ ⲙⲡⲗⲁⲟⲥ ⲙⲡⲓⲥⲣⲁⲏⲗ,"And the king went over to Galgala, and Chamaam went over with him: and all the men of Juda went over with the king, and also half the people of Israel."
